Price,Close,High,Low,Open,Volume,RSI,Volume_MA20,Price_Change,MACD,Signal,Bollinger_Upper,Bollinger_Lower,ATR
Ticker,LUNR,LUNR,LUNR,LUNR,LUNR,,,,,,,,
Date,,,,,,,,,,,,,
2022-03-04,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0,58.62067075543571,40055.0,0.0,0.006321556331608136,0.0071757190604981695,9.695250256997578,9.581849638479717,0.030419667746531036
2022-03-07,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,1100,58.62067075543571,7010.0,0.0,0.0064623126096439165,0.007033037770327319,9.696093032983427,9.58450684723508,0.02942253162737353
2022-03-08,9.670000076293945,9.670000076293945,9.649999618530273,9.649999618530273,6000,62.88669422828294,7285.0,0.002072586378684127,0.008094425268913241,0.007245315270044504,9.699240199711069,9.586359699580923,0.028656234658920747
2022-03-09,9.6899995803833,9.6899995803833,9.680000305175781,9.680000305175781,1100,66.35516101143524,7340.0,0.002068201027048966,0.0108763038863664,0.007971512993308883,9.705405723641077,9.587194145133337,0.028642766025490488
2022-03-10,9.6899995803833,9.6899995803833,9.6899995803833,9.6899995803833,0,46.26853986961597,7340.0,0.0,0.012931891932675299,0.008963588781182167,9.71061381411932,9.588986024137515,0.027609332391639377
2022-03-11,9.6899995803833,9.6899995803833,9.6899995803833,9.6899995803833,0,46.26853986961597,7090.0,0.0,0.014395023399924156,0.010049875704930565,9.714944111459092,9.591655696280165,0.026514966966411348
2022-03-14,9.6899995803833,9.6899995803833,9.6899995803833,9.6899995803833,0,46.26853986961597,7090.0,0.0,0.015377305621843362,0.011115361688313126,9.718432102910082,9.595167674311597,0.025351780212532714
2022-03-15,9.6899995803833,9.6899995803833,9.6899995803833,9.6899995803833,0,83.78353996443025,7090.0,0.0,0.0159716600051496,0.012086621351680421,9.721077289834238,9.599522456869863,0.02650665186617479
2022-03-16,9.6899995803833,9.6899995803833,9.6899995803833,9.6899995803833,0,96.87518626691303,7090.0,0.0,0.01625530905183936,0.01292035889171221,9.722843078481361,9.604756637705162,0.02630690731203751
2022-03-17,9.649999618530273,9.649999618530273,9.585000038146973,9.585000038146973,1500,59.61522590347635,7165.0,-0.004127963218285791,0.013101415375908587,0.012956570188551488,9.721092682840258,9.609507006643383,0.024863814403095465
2022-03-18,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,1600,60.7840753968996,7195.0,0.0,0.010481112178231555,0.0124614785864875,9.716487042639784,9.609112627770372,0.022989567053805067
2022-03-21,9.6899995803833,9.6899995803833,9.640000343322754,9.65999984741211,600,71.83086294552609,7225.0,0.004145073931010046,0.011499605351479758,0.012269103939485953,9.714699080463143,9.609900567058828,0.020926247167949337
2022-03-22,9.6899995803833,9.6899995803833,9.6899995803833,9.6899995803833,0,69.23059993837757,7225.0,0.0,0.012166520454721663,0.012248587242533096,9.712858039902757,9.610741584731032,0.01949919846113551
2022-03-23,9.6899995803833,9.6899995803833,9.6899995803833,9.6899995803833,0,66.66666666666666,7095.0,0.0,0.012550382481993694,0.012308946290425216,9.715758477602844,9.612841070737002,0.018575622814186857
2022-03-24,9.65999984741211,9.729999542236328,9.65999984741211,9.729999542236328,600,53.33341810459926,1445.0,-0.00309594780911282,0.010314963691049783,0.01191014977055013,9.71473584107989,9.616863680557074,0.01761924337055459
2022-03-25,9.680000305175781,9.6899995803833,9.680000305175781,9.6899995803833,400,58.823727406343615,1465.0,0.0020704407949891923,0.010041495870845907,0.011536418990609285,9.714571404486335,9.622028136224113,0.015689229092370464
2022-03-28,9.6899995803833,9.6899995803833,9.6899995803833,9.6899995803833,100,56.249888240518324,1220.0,0.0010329829434172488,0.010510470434297758,0.01133122927934698,9.71450228236996,9.628297190438879,0.015619047201804293
2022-03-29,9.664999961853027,9.6899995803833,9.630000114440918,9.6899995803833,7300,42.42431248338285,1585.0,-0.002579940104526224,0.008763851643310616,0.010817753752139708,9.7114008988899,9.635098544164299,0.015988429996635103
2022-03-30,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945,10000,44.11776255630915,2060.0,0.0005173424170359375,0.007694414692458906,0.010193085940203548,9.709614026933247,9.63988538941807,0.01588498921498209
2022-03-31,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945,10000,44.11776255630915,2015.0,0.0,0.006768851101993434,0.009508238972561527,9.7087208973557,9.642778564771984,0.015640987326485705
2022-04-01,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945,0,44.11776255630915,2015.0,0.0,0.0059665565384996455,0.008799902485749151,9.707575935239024,9.64592357266503,0.0152496786955945
2022-04-04,9.65999984741211,9.6899995803833,9.65999984741211,9.675000190734863,2000,41.66671081841446,2060.0,-0.0010341498245022285,0.004472244174378304,0.007934370823474982,9.70653490909027,9.647964621701966,0.015141216018011763
2022-04-05,9.649999618530273,9.680000305175781,9.649999618530273,9.65999984741211,2400,39.4736710017116,1880.0,-0.0010352203974945962,0.002452781822464445,0.006838053023272875,9.707851557553186,9.644647927462684,0.015499894274612956
2022-04-06,9.640000343322754,9.640000343322754,9.640000343322754,9.640000343322754,200,46.875204892383074,1835.0,-0.0010361943629840775,4.496706498180458e-05,0.005479435831614661,9.70852324181981,9.638976319490004,0.016694467744123802
2022-04-07,9.640000343322754,9.640000343322754,9.640000343322754,9.640000343322754,0,46.875204892383074,1835.0,0.0,-0.0018420099337870255,0.004015146678534324,9.708223897774161,9.634275739829597,0.017778218194897298
2022-04-08,9.649999618530273,9.649999618530273,9.640000343322754,9.640000343322754,19600,34.61518710614541,2815.0,0.0010372691754565455,-0.002501756170584457,0.0027117661087105683,9.7062808448436,9.632218796574858,0.017340195931163895
