Price,Close,High,Low,Open,Volume,RSI,Volume_MA20,Price_Change,MACD,Signal,Bollinger_Upper,Bollinger_Lower,ATR
Ticker,ACHR,ACHR,ACHR,ACHR,ACHR,,,,,,,,
Date,,,,,,,,,,,,,
2022-03-22,4.590000152587891,4.630000114440918,4.340000152587891,4.429999828338623,1482800,75.2475264664276,2041540.0,0.03146075265694748,0.34298906666725637,0.182049358011868,4.5555300481477214,2.2604699604353473,0.6311601723276992
2022-03-23,4.75,4.880000114440918,4.364999771118164,4.559999942779541,2513300,82.15488329009287,2095990.0,0.03485835339719978,0.3906238514927791,0.22376425670805022,4.762407499716203,2.247592514588912,0.6702697244819196
2022-03-24,4.980000019073486,5.159999847412109,4.710000038146973,4.809999942779541,3933200,83.2278481967708,2159205.0,0.048421056647049765,0.44184057786060027,0.26737952093856027,5.0013705334367415,2.1976294913587906,0.7089211621409609
2022-03-25,5.110000133514404,5.170000076293945,4.889999866485596,4.989999771118164,2202400,83.12102058334342,2217255.0,0.026104440550806185,0.48730280191773456,0.3113641771343951,5.234576869717239,2.16042315889299,0.7432346901171428
2022-03-28,4.619999885559082,5.239999771118164,4.599999904632568,5.110000133514404,2469600,69.82248186802207,2279710.0,-0.09589045697701859,0.4782797063772559,0.3447472829829673,5.338134825840372,2.2038651817890225,0.7311499209854149
2022-03-29,5.139999866485596,5.179999828338623,4.513000011444092,4.75,2750600,72.72726867056407,2360775.0,0.1125541112137034,0.5072413285048958,0.377246092087353,5.522044382689766,2.2189556020514445,0.7566394585155982
2022-03-30,4.869999885559082,5.059999942779541,4.760000228881836,5.0,3242500,70.10309145318578,2482065.0,-0.05252918053305755,0.5026130701149789,0.4023194876928782,5.623868744917305,2.2981312341018603,0.7289447143408471
2022-03-31,4.809999942779541,4.960000038146973,4.570000171661377,4.869999885559082,1880600,71.5789445285323,2518560.0,-0.01232031708203063,0.48847283725026625,0.41955015760435577,5.675505078883597,2.4434949029965916,0.6588184348092033
2022-04-01,4.75,4.920000076293945,4.690000057220459,4.840000152587891,1062200,75.5555533479762,2451995.0,-0.012474000726259704,0.46704134498637995,0.42904839508076065,5.696421981984169,2.6095779884519272,0.4943482778462694
2022-04-04,4.849999904632568,4.900000095367432,4.630000114440918,4.849999904632568,1235200,73.17072993442471,2402895.0,0.021052611501593432,0.4529050816735518,0.4338197323993189,5.721856132150613,2.7661438316097637,0.34704718210186364
