Price,Close,High,Low,Open,Volume,RSI,Volume_MA20,Price_Change,MACD,Signal,Bollinger_Upper,Bollinger_Lower,ATR
Ticker,BBAI,BBAI,BBAI,BBAI,BBAI,,,,,,,,
Date,,,,,,,,,,,,,
2022-03-04,7.75,8.194000244140625,7.170000076293945,7.309999942779541,573800,87.55981712719681,229765.0,0.038873989325751035,0.46663307240389607,0.18869995504364456,7.250308245261023,3.820691758553675,0.915789732215687
2022-03-07,9.609999656677246,9.710000038146973,7.78000020980835,7.949999809265137,1107300,91.04992018515402,282170.0,0.23999995570028987,0.704217027464856,0.2918033695278869,8.246794591273723,3.256205382023395,1.3329228400363526
2022-03-08,7.929999828338623,9.5,7.0,9.460000038146973,1051700,69.14446369553146,332920.0,-0.1748178864055756,0.7483159572039533,0.38310588706310017,8.549416948458038,3.226583026746428,1.387023152703219
2022-03-09,8.539999961853027,9.130000114440918,7.550000190734863,7.920000076293945,526400,71.39142099730788,356150.0,0.07692309542485853,0.8229995628673121,0.47108462222394254,8.942029625804405,3.1799703532147587,1.4694813800347915
2022-03-10,8.609999656677246,9.430000305175781,8.270000457763672,8.270000457763672,468600,72.20779428274604,375305.0,0.008196685613219845,0.8777174681693998,0.5524111914130341,9.287426086470944,3.2025738753820834,1.5102207318261427
2022-03-11,9.460000038146973,10.5,8.489999771118164,8.800000190734863,1085600,75.76832654309969,426120.0,0.09872246403756035,0.9783914418632707,0.6376072415030815,9.75467804033163,3.2083219234287457,1.5824149264517382
2022-03-14,8.479999542236328,10.369999885559082,8.4399995803833,10.369999885559082,408800,68.55614719632484,442875.0,-0.10359413234237236,0.9679406245210016,0.7036739181066655,9.93989112968202,3.410108774950549,1.498945485266575
2022-03-15,8.15999984741211,8.699999809265137,7.550000190734863,8.699999809265137,335200,65.5755017062413,456375.0,-0.03773581510593205,0.923194958645543,0.747578126214441,10.050183270619007,3.631816603495983,1.3772762254588122
2022-03-16,8.449999809265137,8.760000228881836,7.909999847412109,8.34000015258789,218600,65.5755017062413,463270.0,0.035539211675965854,0.9007509728379963,0.7782126955391521,10.191881743894124,3.815118130220867,1.2581436872052318
2022-03-17,8.289999961853027,9.0600004196167,8.289999961853027,8.4399995803833,708900,62.29327569649118,496610.0,-0.018934893612266745,0.8601381645304009,0.7945977893374019,10.28113884719853,4.029861023101763,1.1622116825663
2022-03-18,6.440000057220459,6.960000038146973,6.210000038146973,6.960000038146973,973000,53.10150322026437,541590.0,-0.22316042378111733,0.6709385284266327,0.7698659371552481,10.225930284833797,4.210069585466496,1.0786091051111173
2022-03-21,6.170000076293945,6.599999904632568,6.150000095367432,6.550000190734863,501400,51.52073705580418,564925.0,-0.0419254625042732,0.4935207121639973,0.714596892156998,10.156358719885386,4.386641167581046,1.0308261646923764
2022-03-22,6.199999809265137,6.420000076293945,5.920000076293945,6.25,349000,47.609561535387236,581165.0,0.004862193290151584,0.3512871229967969,0.6419349383249577,10.064587304696984,4.5974125408077775,1.084755686049511
2022-03-23,6.289999961853027,6.480000019073486,6.010000228881836,6.199999809265137,322700,43.74331471713355,595580.0,0.014516154089778688,0.24302677758224878,0.5621533061764159,9.981398043315217,4.788601794560149,1.1687120027343663
2022-03-24,7.329999923706055,7.466000080108643,6.300000190734863,6.429999828338623,274100,47.92079158371982,586835.0,0.1653418073386832,0.23840084263226302,0.49740281346758536,9.917528629041525,5.035471201204446,1.1777795491055003
2022-03-25,7.559999942779541,7.65500020980835,6.900000095367432,7.150000095367432,170500,37.8984665603438,555340.0,0.031377901973728584,0.2504072957726695,0.44800370992860217,9.899688497987388,5.203311332258584,1.0647149959762627
2022-03-28,7.46999979019165,8.119999885559082,7.409999847412109,7.849999904632568,253200,46.65697652256251,545520.0,-0.011904782178450812,0.24978091730560337,0.4083591514040024,9.83250797617883,5.439491812105471,1.064430098502997
